date,assist_total,drive_total,daily_assist,daily_drive,ratio,grab_assist_total,grab_drive_total
2026-04-30,10497943907,31073355152,0.0,0.0,0.0,10497943907.0,31073355152.0
2026-05-01,10559978169,31209115760,62034262.0,135760608.0,0.456938598860724,10559978169.0,31209115760.0
2026-05-02,10611237439,31326459902,51259270.0,117344142.0,0.4368285380620023,10611237439.0,31326459902.0
2026-05-03,10666023275,31449820327,54785836.0,123360425.0,0.44411192649506515,10666023275.0,31449820327.0
2026-05-04,10727875339,31583107342,61852064.0,133287015.0,0.46405168575498523,10727875339.0,31583107342.0
2026-05-05,10777708967,31695568984,49833628.0,112461642.0,0.4431166672810984,10777708967.0,31695568984.0
2026-05-06,10805013752,31772128700,27304785.0,76559716.0,0.3566468950851385,10805013752.0,31772128700.0
2026-05-07,10830631891,31846121958,25618139.0,73993258.0,0.34622261125466325,10830631891.0,31846121958.0
2026-05-08,10856485311,31920685688,25853420.0,74563730.0,0.3467291671165056,10856485311.0,31920685688.0
2026-05-09,10884191175,32000448521,27705864.0,79762833.0,0.34735305853542087,10884191175.0,32000448521.0
2026-05-10,10911168681,32076349031,26977506.0,75900510.0,0.35543247337863737,10911168681.0,32076349031.0
2026-05-11,10937572101,32152211287,26403420.0,75862256.0,0.3480442237309684,10937572101.0,32152211287.0
2026-05-12,10963325151,32226691161,25753050.0,74479874.0,0.34577193296540754,10963325151.0,32226691161.0
2026-05-13,10988986839,32301311103,25661688.0,74619942.0,0.34389852514224684,10988986839.0,32301311103.0
2026-05-14,11014382124,32375356455,25395285.0,74045352.0,0.34296933317299916,11014382124.0,32375356455.0
2026-05-15,11044141732,32459396768,29759608.0,84040313.0,0.354111103798483,11044141732.0,32459396768.0
2026-05-16,11073015581,32538593987,28873849.0,79197219.0,0.36458160229085823,11073015581.0,32538593987.0
2026-05-17,11101889430,32617791206,28873849.0,79197219.0,0.36458160229085823,11101889430.0,32617791206.0
2026-05-18,11127501967,32693061297,25612537.0,75270091.0,0.3402750901417138,11127501967.0,32693061297.0
2026-05-19,11152589564,32767438875,25087597.0,74377578.0,0.33730053699785706,11152589564.0,32767438875.0
2026-05-20,11178101813,32843167570,25512249.0,75728695.0,0.3368901180721522,11178101813.0,32843167570.0
2026-05-21,11203614062,32918896265,25512249.0,75728695.0,0.3368901180721522,11203614062.0,32918896265.0
2026-05-22,11232915626,33002684780,29301564.0,83788515.0,0.349708596697292,11232915626.0,33002684780.0
2026-05-23,11260947082,33080371918,28031456.0,77687138.0,0.36082492831696283,11260947082.0,33080371918.0
2026-05-24,11290707683,33161648976,29760601.0,81277058.0,0.36616238004087204,11290707683.0,33161648976.0
2026-05-25,11317990731,33240899186,27283048.0,79250210.0,0.3442646776582674,11317990731.0,33240899186.0
2026-05-26,11342699315,33313972804,24708584.0,73073618.0,0.33813275811798454,11342699315.0,33313972804.0
2026-05-27,11369422340,33391167850,26723025.0,77195046.0,0.3461753879905713,11369422340.0,33391167850.0
2026-05-28,11396493836,33469131558,27071496.0,77963708.0,0.34723202236609885,11396493836.0,33469131558.0
2026-05-29,11427353135,33555002773,30859299.0,85871215.0,0.3593672105373145,11427353135.0,33555002773.0
2026-05-30,11458378755,33638148874,31025620.0,83146101.0,0.37314581954961423,11458378755.0,33638148874.0
2026-05-31,11493923861,33731042255,35545106.0,92893381.0,0.38264411971397616,11493923861.0,33731042255.0
2026-06-01,11522026075,33814713485,28102214.0,83671230.0,0.3358647171793698,11522026075.0,33814713485.0
2026-06-02,11547471913,33888452338,25445838.0,73738853.0,0.34508046931513836,11547471913.0,33888452338.0
2026-06-03,11573601457,33964669218,26129544.0,76216880.0,0.3428314567586603,11573601457.0,33964669218.0
2026-06-04,11598417539,34037118106,24816082.0,72448888.0,0.34253226909431655,11598417539.0,34037118106.0
2026-06-05,11627713770,34119996861,29296231.0,82878755.0,0.35348300055906967,11627713770.0,34119996861.0
2026-06-06,11656759955,34200636134,29046185.0,80639273.0,0.3601989938574967,11656759955.0,34200636134.0
2026-06-07,11685414927,34279231998,28654972.0,78595864.0,0.36458625863569616,11685414927.0,34279231998.0
2026-06-08,11712442270,34357906331,27027343.0,78674333.0,0.3435344408957366,11712442270.0,34357906331.0
2026-06-09,11738107292,34432806414,25665022.0,74900083.0,0.34265678984628095,11738107292.0,34432806414.0
2026-06-10,11765464793,34512085240,27357501.0,79278826.0,0.345079542424102,11765464793.0,34512085240.0
2026-06-11,11792809031,34590686771,27344238.0,78601531.0,0.3478842924828016,11792809031.0,34590686771.0
2026-06-12,11822368939,34673666976,29559908.0,82980205.0,0.35622842821369266,11822368939.0,34673666976.0
2026-06-13,11851660336,34754746411,29291397.0,81079435.0,0.3612678973404292,11851660336.0,34754746411.0
2026-06-14,11881421394,34835330037,29761058.0,80583626.0,0.36931892342496475,11881421394.0,34835330037.0
2026-06-15,11910352465,34918925368,28931071.0,83595331.0,0.3460847711698157,11910352465.0,34918925368.0
2026-06-16,11937217717,34997406263,26865252.0,78480895.0,0.3423158209396058,11937217717.0,34997406263.0
2026-06-17,11964253520,35075939510,27035803.0,78533247.0,0.34425933006437387,11964253520.0,35075939510.0
2026-06-18,11999168226,35172402015,34914706.0,96462505.0,0.361951060673782,11999168226.0,35172402015.0
2026-06-19,12037710068,35270986346,38541842.0,98584331.0,0.3909530207188808,12037710068.0,35270986346.0
2026-06-20,12072461123,35361221857,34751055.0,90235511.0,0.38511506850113586,12072461123.0,35361221857.0
2026-06-21,12111556762,35458677645,39095639.0,97455788.0,0.40116282267401093,12111556762.0,35458677645.0
2026-06-22,12141705905,35543723239,30149143.0,85045594.0,0.354505643173002,12141705905.0,35543723239.0
2026-06-23,12166658844,35616477783,24952939.0,72754544.0,0.3429743027459563,12166658844.0,35616477783.0
2026-06-24,12193584302,35694131627,26925458.0,77653844.0,0.34673696256427433,12193584302.0,35694131627.0
2026-06-25,12221254894,35773116501,27670592.0,78984874.0,0.35032773490276126,12221254894.0,35773116501.0
2026-06-26,12251918005,35858708443,30663111.0,85591942.0,0.3582476373768923,12251918005.0,35858708443.0
2026-06-27,12283922965,35943567919,32004960.0,84859476.0,0.37715245849503004,12283922965.0,35943567919.0
2026-06-28,12315433649,36026369807,31510684.0,82801888.0,0.3805551390325786,12315433649.0,36026369807.0
2026-06-29,12344667600,36108603639,29233951.0,82233832.0,0.3554978564053783,12344667600.0,36108603639.0
2026-06-30,12371745746,36186599796,27078146.0,77996157.0,0.3471728228866456,12371745746.0,36186599796.0
2026-07-01,12400276530,36266658380,28530784.0,80058584.0,0.3563738274461612,12400276530.0,36266658380.0
2026-07-02,12429658966,36348252284,29382436.0,81593904.0,0.3601057745686492,12429658966.0,36348252284.0
2026-07-03,12462525052,36437209966,32866086.0,88957682.0,0.36945753600009495,12462525052.0,36437209966.0
2026-07-04,12497143181,36526600306,34618129.0,89390340.0,0.38726923960687476,12497143181.0,36526600306.0
2026-07-05,12532158701,36615608465,35015520.0,89008159.0,0.3933967446737102,12532158701.0,36615608465.0
2026-07-06,12564398245,36702829338,32239544.0,87220873.0,0.36963106296814985,12564398245.0,36702829338.0
2026-07-07,12593582412,36783788705,29184167.0,80959367.0,0.3604791895173785,12593582412.0,36783788705.0
2026-07-08,12624560301,36868353784,30977889.0,84565079.0,0.3663201095099787,12624560301.0,36868353784.0
2026-07-09,12656426864,36954445466,31866563.0,86091682.0,0.3701468278898303,12656426864.0,36954445466.0
2026-07-10,12691273699,37046100268,34846835.0,91654802.0,0.3801965007790863,12691273699.0,37046100268.0
2026-07-11,12725431252,37133125347,34157553.0,87025079.0,0.3925024072658411,12725431252.0,37133125347.0
